reviews,target
pay anywhere else initially leery buying another sd card amazon year ago card fake said gig plugged computer but could load onto would say full apparently way fool computer thinking space fake counterfeit card not one real deal genuine sandisk contains many gb say pleased customer great product great price,2
use samsung galaxy almost year no problem really expands memory capability easy enough install work well samsung galaxy,2
gb storage new asus tablet not love imagine paying model upgraded storage especially since usually like thing cheap work great cheap awesome,2
excellent quality excellent speed no complaint easy use reliable red stripe front make easy find crowded desk excellent quality excellent speed,2
card advertises uhs but actually uhs mean not go sdr speed throughput not necessary bad false advertising capable ddr sdr max,1
purchase hp tablet memory music download picture video enough room store memory left hp tablet use,2
anything wrong sandisk product item read sooooo quickly quite happy love,2
lot people want big memory fine but need look speed class one class great taking picture video not freeze move mb fast enough lesser speed card freeze say waiting camera miss moment also sandisk name trust come memory card great memory card,2
fast transfer rate downloaded gb video form card laptop card reader minute fast transfer rate,2
something said sandisk plug work never one doa memory issue throughout year camera storage product installed galaxy siii recognized right away able dump music onto speed seems great well no complaint work like sandisk memory product,2
praise extra memory fill mp player every song heart desire sound quality perfect ease use superb great good price great product,2
though state gig gig available but know happens expected keep mind wanting storage might want order gig card exactly expected needed no complaint described,2
job advertised need extra memory phone tablet whatever device bext buy price quality job,2
needed cell phone work perfectly sandisk never disappointment plus year computer work sandisk,2
priced right memory card also read writes fast noticeable difference cheaper card put phone plan buy another one tablet good deal,2
work great sprint htc evo g lte formatted w fat course maximum file size gb meaning no full length hidef movie however problem bought card putting music library phone like class micro sdhc card not mb but closer class card ever tried mb kingston gb mb card mb wait till gb gb card become available affordable work great htc evo g lte,2
update gb card stopped allowing writes via card reader window pc either inside several full size sd card adapter write protect tab either position plugged directly microsd slot reader microsd card no write protect tab quite surprised worried failing find workable solution searching online finally put chromebook created new folder stuck back window pc no longer gave write protect error anyone similar problem recommend something similar putting pc laptop camera etc available try writing portion review necessarily written update original review gb version card since amazon disallows multiple review consider item portion concern gb version card:i need fast card speed card not important besides test pc not exactly high end therefore count speed result got using usb card adapter but thought might relevant reader card reach class uhs requirement came claimed read speed mb fast file transfer running second pc using different usb card reader none speed even hit mb seems highly system dependent got card week far work select sdxc compatible device exfat compatible operating systems: sdxc compatible device panasonic hdc tm not allow card larger gb whatever reason stated manual confirmed card recognized broken corrupt unusable device whereas gb exfat card work fine gb work fine original exfat formatting toshiba excite android tablet predictably not non sdxc compatible galaxy note though possibly would reformatted fat since gb card fat work fine update review reflect problem issue etc notice coming day week crystaldiskmark c hiyohiyocrystal dew world : url removed per amazon rule mb byte sata byte sequential read : mb ssequential write : mb srandom read kb : mb srandom write kb : mb srandom read kb qd : mb iop random write kb qd : mb iop random read kb qd : mb iop random write kb qd : mb iop test : mb g: gb x date : : : o : window xp professional sp build x following original review gb version card published april :this high quality card used variety device multiple reader different pc hd camcorder using micro full sized sd adapter never problem even work full capacity microsdhc device reformatted fat sandisk clip flac player supposedly even psps via proper adapter though yet tested psp keep anticipating someone coming card equal better capacity speed comparable price but seen one yet cheaper several make sure device handle micro full sized sdxc card one rare gem state support high sdhc but tested work sdxc card one manually reformatted fat gb gb version great but confirm speed claim outside class rating,2
work great phone wife love got second mom storing lot picture video work,2
loaded card home movie samsung galaxy tab copy process computer card fast no skip movie quality plenty room left go wish bought another collection fast dependable,2
bought loaded season futurama full length hd movie several documentary dozen minute comedy show plenty room left picture etc slight nitpick booting recovery mode not recognize card wanted update phone latest version android would not see resort gb microsd laying around sd card issue but thought would throw great movie go,2
purchased wife bought samsung galaxy store music picture video camera capable capturing megapixels photo gb microsd not suffice matter fact already exhausted remaining space card gb allow take photo son great storage medium,2
great storage not failed yet year usage good reliable storage galaxy,2
since wife using not causing problem must functioning normally look good far wife using no complaint,2
class speed way fly gb usable space think good fast full empty space,2
subject say supposed great price sale buy great price good speed reliable,2
lot question memory card fitting samsung galaxy tab tablet fit work no problem thing installing instead showing gb available show gb tried formatting card but result no idea limit set galaxy tab tablet normal buy gb get less surely not problem coming sandisk memory card rating star excellent price work great quick delivery work ok samsung galaxy tab,2
come kind flash storage sandisk always go brand sell quality item stand problem usual no complaint work descried issue read write speed right spec say samsung galaxy tab,2
high speed high capacity storage great durability use phone digital camera work good great performance,2
memory help keep want keep cell phone good brand right price useful,2
bought sd card android phone thinking class faster reliable others turn difference class really matter least android phone really worth price difference class really matter least android phone,2
sandisk gb micro sd class reliable sd card amazing transfer speed no noticeable lag transfering even largest raw image problem great product,2
good card work describes issue going pas metal detector no lost file missing file good,2
bought store music phone work flawlessly three month far no problem card reader average megabyte read write good cheap card,2
amazed ordered amazon tuesday morning arrived wednesday mail impressive service amazon already reported card format gb performs perfectly samsung galaxy iii also new using two card reader fast pc transferred everything old gb card new gb card less time took walk kitchen get cup coffee think class rating correct card experience card phone benchmark card also benchmark operation internally backing android phone card update review accurate numerical data but mean time first look person said problem anything faster class may not correct full backup phone card significantly faster backup old gb class card no benchmark yet but include right happy card really impressed card unbelievably quick service amazon atlanta shipment like one often take full day arrive fast class card excellent service amazon,2
excellent one best go wrong card class necessary show noticeable but not significant improvement class great,2
bought gb microsd card best buy needed one microsoft surface pro provides space need people need lot space video quick book picture editing game etc card one need much space consider buying one cheaper little less memory note: aware microsdxc format card new computer support format many older computer not includes but tablet smartphones buying make sure computer tablet smartphone compatible not not work period others claim card work no matter try chance machine cannot support microsdxc format great quality plenty memory,2
got pas deal incredibly fast htc sensation g picture taken saved instantaneously day but happy shipping fast packaging easy open always great book issue format computer first phone able recognize fantastic,2
get lot storage small price micro sd adapter class fast happy purchase hope review helpful mucho storage poco price,2
ultra micro sdhc fine got working neither packaging nor sansa clip player inform user player need totally microcard inserted not unit not read card otherwise love storage even gb let alone tremendous great item but user instruction could better,2
upgraded price dropped originally gig sandisk card mytouch g found toward mytouch g end life space running low got galaxy bought card work flawlessly highly recommend error ever super fast transfer rate huge storage,2
item priced right fit right cell phone without issue suppose know else could say class suppose plenty fast cell phone use sure speed camera use degree worked well shipping fast sandisk micro sd,2
got memory card samsung galaxy running room sandisk gb class micro sd card also wanted faster durable card hopping put lot medium addition nandroid backup custom rom later found since card formatted ex fat would not work make nandroid backup flash custom rom custom recovery custom rom dont work ex fat choice format card fat meant put file larger gb besides card great reasonable price one root phone put custom rom nandroid backup put file larger gb not affect memory card fast provides storage put mobile device time card also water proof shock proof come lifetime warranty ive never issue sandisk memory card usb flash drive last really long time fast lot storage one catch,2
using included adaptor macbook pro transfer file impressed speed card huge fast,2
got store movie music samsung note iii not much say memory card except work expected work note iii,2
purchased version expand memory gb android tablet nothing fancy but job no problem played back flawlessly file transferred many different microsd card but see sale might want consider instead cheaper no name brand good money,2
ordered sd card but one best overall shipping excellent fast reliable would recommend anyone looking quality product thanks memory thought,2
use phone work totally worth money great place store picture music phone instead using phone memory still run fast sandisk,2
bought two one asus infinity one samsung galaxy international version worked fine asus but work phone formatted card using phone tablet laptop but work test apps using apps nothing showed not working way got work formatting canon slr camera fast but not headachs,2
work but actual r w speed mb not even class marketed sandisk basic not sandisk ultra unless mean ultra slow no excuse slow card sandisk update redone test notepro instead using non uhs pc latest result mb since read speed hit believe device dhs ready still underwhelmed write speed though painfully slow,0
sandisk ultra gb microsdhc c uhs memory card adapter sandisk ultra gb microsdhc c uhs memory card adapter work fine sandisk ultra gb microsdhc c uhs memory card adapter,2
great adding ton storage smartphone device fast enough need price right fast tiny,2
possibly go wrong san disc product although purchased son used san disc past never disappointed gb sandisk ultra bargain buy,2
job fairly cheap worth return first one exchange another first one defective sandisk really need better quality assurance product second one work perfectly fine use gopro camera ok product,1
bought son tablet cartoon video movie game downloading yr small simple game work great,2
bought friend mine put video initially plugged computer find storage directory however finding micro sd usb adapter bingo worked like charm install video plugged card phone race not sure needed adapter but get computer recognize also used linux go figure samsung galaxy note ii,2
sandisk ultra gb micro card great addition maximize samsung galaxy iii whatever version got gb gb fast memory great price plenty space picture video android application good video galaxy iii use super fast got advanced smartphone market memory get right price great addition samsung galaxy iii,2
installed samsung tablet tab definitely performance difference tablet especially load apps fast,2
memory work samsung smartphones fast memorysandisk reliable memory market nice,2
love good quality good performance great brand could not find better product money using samsung galaxy mini zero complication great product great price,2
product arrived two day prime exactly ordered work great galaxy know class not exactly needed cell phone but cannot hurt right happy purchase quick delivery exactly ordered,2
expanded samsung tab tablet gb gb work fast see lag store ten movie tab play right flash disc no problem happy card upgrade better,2
update: providing update regard sandisk support bought memory card aug see original review may cruise alaska card went bad sailing san francisco fine used take panorama shot golden gate bridge cruise using dslr but next time wanted use cell phone phone told no memory card loaded way tested card laptop got back recognize contacted sandisk via email provide copy receipt amazon along serial number back card hard read no problem told send back card sent brand new card still functioning cell phone great support provide sandisk no hassle long provide proof purchase easy since amazon keep entire purchase history invoice online one reason buy directly amazon v vendor either amazon elsewhere internet confidence memory card sold amazon genuine may incredible deal elsewhere internet but case deal good true counterfeit card sold original review:just received today removed packaging inserted samsung galaxy verizon powered unit back storage available no formatting required worked first time setting showed gb total space gb version gb free space like fact sd adapter came ever need insert card laptop come handy yes plug phone directly laptop but ever swap gb card phone replace gb version use gb version via adapter purpose ready use galaxy,2
still feel fast phone guess need remove run r w test still ok great capasity,1
bought gb version card use gopro hero black edition work card worked ok camera set resolution lower bit rate e g worked fine p protune p protune however p protune bitrate shy mb mode much higher protune turned nothing but trouble camera would sometime work sometime randomly stop recording no obvious reason first suspected camera but testing different sd card ended sandisk card fault spare card old cheap gb pny also class worked fine condition camera setting obvious problem card found people gopro forum trouble specific card well well always find figure right anyhow speed test card simple write gb file full zero using unix dd utility copy gb zero dev zero else would find many zero onto file card result average sandisk card would manage mb barely bar class card however average gb write test speed oscillating many spike drop drop low mb uh thought write speed class card never dip mb comparison old cheap class pny card chugging along constant mb test no spike no drop speed card probably work fine device bitrates recording p video often low enough camera might huge buffer but want use record video high bitrates device huge buffer compensate speed bump card may run trouble wary using hero mode higher bit rate e g p protune enabled sandisk website list part number sdsdqui g adapter sdsdqua g without adapter conflict product description amazon likely amazon not getting product description right bit common thing interesting note update apr :some number testing card test extremely simple write gb zero onto card using standard unix dd command read kb block zero special device dev zero write onto card kb gb dd display transfer stats finish dd running run iostat second terminal displaying second interval stats measure current speed done mac dd command line used repeat test linux system however iostat command different linux would need modified slightly choose kb block size seems device driver merges sequential writes anyhow using different block size result comparable dd dev zero test b count record record byte transferred sec byte sec mb good right wrong iostat running parallel dd command recorded this: iostat w disk disk kb tps mb dd finish writing gb zero card imo last column never dip mb card labeled class comparison test run samsung pro gb micro sd card: dd dev zero test b count record record byte transferred sec byte sec iostat w disk disk kb tps mb dd finish writing gb zero card samsung average x faster but importantly speed much constant critically important never dip mb work,0
else say sandisk ultra gb micro sd xc perfect sandisk card perfect,2
husband bought gopro used record vacation mexico still half space left surprised much gb,2
item using month record hd video gopro hero without problem good quality card,2
third purchase working fine far installed smart phone camera even used portable storage device not noticed issue good product good camera smart phone etc,2
love little guy super fast lot space storage plug enjoy amazing,2
bought gopro hero camera silver edition working without problem fast pleasantly surprised good quality memory card adapter turn laptop directly good one,2
great addition smart phone huge capacity store data also pretty fast record video no lag recording great capacity,2
micro sd card well made great read write speed added gray amount memory samsung galaxy really recommend great product,2
bought item use gopro hero sell gopro website but lot cheaper amazon yet problem card great sd card,2
work perfectly fair price immediately recognized device use good purchase excellent,2
need little no formatting yet see sandisk fail cut corner almost every brand sd card fail except tried numerous brand device remember take bit device buffer information sd card static corrupt sd card usually easily fixed formatting always back document pc mac soon possible oh create playlist slideshows etc device remove sd card device not smart enough compile put sd card back end blank playlist even though song watch lastly sd card work whatever reason google sd card formatting help gb version seem formatting issue like gb one but even formatting fat fix awesome work fine,2
sandisk company trust offering good product low price come adapter small case get full sd card size keep getting lost not use cheap easy storage,2
appears class hold much say came sd card adapter even gave option forgo ridiculous plastic package know hate one scissors refuse cut end hurting time getting open completely advertised nothing wrong,2
bought card gopro hero worked fine people said problem card new gopros but no problem micro card work anything also take standard card due included adapter work intended,2
always good experience sandisk product priced well installed wife cell phone immediately recognized not quite sure feature chip supposed but amount memory good deal extra feature not arrived promptly ordered,2
come nice little adapter microsdhc use normal size sd card also pretty neat considering price gb pretty reasonable class fast hd p video recording dslr camera bought use gopro taking picture video working great give anycorrupted file video picture yet working pretty good san disk pretty reliable brand able go wrong gb sdhc,2
great value plenty storage phone tablet looked around really good deal great value,2
shipped fast worked really well use case take lot photo load fast work well,2
old sandisk sd card still work thought new card would reliable but wrong microsd card failed yesterday inside phone used adapter connect computer but mount bought directly amazon not third party vendor know genuine sandisk failed month,0
best price anywhere five star,2
bought memory card samsung note amis really happy recommending product pleased great,2
shipping fast product great quality great pricing like manufacture going order device lot space good performance,2
far good bought samsung micro sd card bestbuy somehow erasedeverything second one hopefully keep stuff good price,2
still gb left came hard case fore protection four star,2
using sd card samsung galaxy instead another one bought manufacture sandisk gb mobile microsdhc flash memory card sdsdq g affp http: www amazon com gp product b kfxide ref oh detail ie utf psc working perfectly since october best sd card ever,2
used galaxy note past month sudden no longer writable tried many way reformat card even window say format successful but file remain remove insert card since private file card not able delete not want sent back sandisk replacement not writable month,0
usual sandisk quality worked expected delivered time no problem worked great android samsung tablet good stuff small package,2
put lumix camera work fast great no complaint never issue highly recommended brand always come perfect,2
great product enough capacity delivers performance happy product samsung galaxy phone nice capacity performance,2
got beat price sandisk far always reliable two gb uhs card older gb gb class class etc sandisk microsds not including standard sd usb thumb drive stood test one card think failing still able recover data not write anymore pretty hard rewritable medium say sandisk,2
great memory card using along roku work great fast transfer rate good capacity reasonable price else could ask great memory card,2
cannot go wrong sandisk date work advertised price great cost saving but came amazon great reputation date far concerned purchased gr additional storage,2
awesome card glad able use dslr five star,2
great storage size first adopter came thought sale price excellent got duped price since first introduced great action cam battery ran ran memory battery ran device ran storage,2
no problem storage speed difficulty insert card kingston reader: http: www amazon com kingston flash memory reader fcr h dp b dq ref sr ie utf qid sr keywords card reader believ due sticker covering something one side microsd not kind problem reader difficulty,2
replaced one crapped tablet taking apps hour time replaced month old one,2
bought gift hubby seems quite well happy given issue certainly us lot information medium smartphone since techie lol gift,2
exactly needed galaxy word warning kitkat prevents apps editing changing deleting anything sd card stock apps come phone but downloaded one not able trick pic movie whatever copy phone internal storage delete fix come non root work around operating system perfect galaxy however,2
worked great galaxy work unknown reason used month crapped back data thing though worked great,1
use camera traveling gb not take bunch accessory also use cell phone sandisk ultra gb microsdhc,2
enough storage dslr really low price class card u use several make linux based ssd perfect,2
handy gb good size even though many device claim support gb card many actually support g card like sandisk brand always trust not saying dont lemon but happened everything handy,2
bought raspberry pi large enough run full lamp server price speed good bargain rpi,2
good thanks sandisk must gopro cam get benefit cam yap must,2
use raspberry pi sd adapter work far also appeared genuine part although prolific sandisk counterfeiter gotten really sneaky recent year like getting microsdhc card adapted different device size example let say buy used phone e reader need memory card not using pi take pi card take adapter put device rather pay money wait week delivery new one work raspberry pi seems genuine,2
popped moved apps card work great video handled quickly apps start fast work great g active,2
great buy work fine use everyday cell phone adapter great moving file computer cell phone buy opportunity present buy,2
oh waited work samsung galaxyworks note samsungexcellent transfer rate close rated speed mb achieved using make music collection truly portable nice not carry device anymore hope review help finally,2
micro sd card perfect smartphone user looking expand storage device personally using one samsung galaxy note work like charm adequately fast cheap fairly reliable looking extremely fast speed however consider sandisk extreme series fastest microsd card world card came adapter card plug becomes full sized sd card looking use camera device us sd card please look elsewhere card not nearly fast full sized sd card used camera adapter used transporting data phone device computer great buy smartphone user looking higher storage capacity price fluctuates often catch em cheep got mine around good micro sd formatted exfat,2
bought august april card stopped functioning still read but writing capability gone less one year extremely disappointed longevity card usage galaxy gb data guess going look another card longer lifespan one less year card failed,0
would get anything less gb instantaneous movie video music picture android phone capable accepting micro sd card go ahead get one two cloud not quite yet reliability,2
originally bought brand card new g price seemed good day took lot picture mysteriously vanished : since good experience sandisk past immediately found card happy sale time bought absolutely no problem expect continue working long time knock wood bottom linethis quality product buy card without respectable brand name work :,2
routinely use sdxc card gb card unreadable arrival pc said needed formatted last resort let one try window date sdxc driver could not format way back amazon glad return easy dead arrival,0
always good else say five star,2
work expected based price performance may best breed product found sandisk brand dependable best breed sd memeory,2
memory card fast class card sandisk unit rarely lose data wish guy would keep marketing backside leaving white space top could write thing cheapo brand but not big guy idiot fast reliable card,2
product large disappointment bought use tablet but card forever getting corrupted reformatted card time but point even reformat work wasted money recommend purchasing disappointing product hard format consistently get damaged use,0
first card ordered bad tablet computer write read amazon replaced immediately new card perfect read writes fast much faster hc phone glad got hc tablet perfect,2
purchased could not get work discovered sandisk app stressing not working android device no worry go get app work hi guy owe one app card make perform better device,2
usual anything san dish quality product bought use surface pro work described fast connection gb ulta micro sd card,2
purchased happy good transfer rate found last sd card caused camera phone delay taking shot but one allows phone take pic quickly : fast sd card great phone storage taking pic,2
bought wife samsung tl kept locking lesser speed sd card throwing card camera rarely lock taking picture back back shooting mp taking picture back back shooting hd vid good idea upgrade class card super fast,2
samsung galaxy note came gig internal memory discovered apps written internal gig memory want fill internal memory picture video music etc purchased gb san disk ultra microsdxc class card found video youtube learn insert card since could find nothing phone user guide real easy turn note phone remove note back plate see plaque saying sd card upper left quadrant phone simply place microsd card face metallic pin facing towards right depressed slot area left sd card plaque slowly gently slide microsd card plaque click correctly tend move back plaque not force replace back plate phone turn phone go setting storage bottom page see sd card microsd card inserted correctly see additional gb storage displayed also see reformat sd card remove sd card use setting erase data microsd card remove phone not try remove microsd card phone without first activating remove sd card setting damage card phone card came quickly san disk reliable brand great class rating work perfectly samsung galaxy note beast phone,2
gb delivered fast installed quick work like reasonable price wish could get memory note much medium work like would buy,2
absolutely great product recommend great price used note note phone download lot music movie must note,2
fast memory card room spare amazing price suitable lot smart phone movie fastest storage available today imho lighting fast storage,2
arrived quickly perfect condition work well camera using standard size adapter readable note seems quick enough canon g would recommend sandisk ultra gb c uhs,2
big card lot faster card came phone allows switch video take pic faster going get cloud storage program think getting couple big card instead make downloading accessing chunk data lot easier gret way improve phone,2
bought memory smartphone far supposed remember save memory,2
bought one g phone bought wife got one seem work seamlessly perhaps kill u but cheaper per gig smaller gig chip lot memory free,2
bought samsung note ed give plenty data storage using note quick picture editing buy,2
bought new samsung galaxy worked right away no trouble time tell : worked box,2
bought memory card spare samsung tab work great allows bring extra movie song audiobooks play tablet travel vacation bought spare,2
bought add storage sansa fuze mp player card formatted correctly work quite smoothly device also tried using adapter kodak digital camera recognized instantly picture saved quickly allowing camera shoot without undue delay work,2
bought use inch onda tablet no problem issue installing using three month would recommend others work well tablet,2
go wrong class card cheap work great may buy another one spare great class card,2
fast reliable plenty size money ran sandisk memory zone reading mbps not quite supposedly rated but lot apps installed running device excellent purchase,2
good memory card gift given junior partner receiving beautiful beautiful packaging received big surprise not know evaluate good memory card,2
good value money class ten rated card fast speed good manufacturer work,2
got note great able pop computer via adapter load large amount picture back tablet kinda wishing got larger capacity one work great,2
got galxy another brand phone kept losing contact corrupted file much faster transfer got gb version note always super fast shipping amazon prime big improvement,2
great micro sd card smartphones product wanted something high transfer rate taking hd video would no lag nice micro sd card decent price,2
great price gb sd card delivered time got download previous sc card problem great shopping electronic stuff amazon terrific price gb card much better spent office depot leximark gb card,2
great price great chip worked perfectly new smart phone swapped gig chip one lot excess storage capacity great micro sdhc chip,2
great value extra storage cell phone adapter included memory disk allows easy interface standard computer card reader interface high quality storage,2
return item would not fit properly adapter came return no problem but reluctant buy another one would not fit properly adapter,0
able use capacity bought tablet pro but used usb adapter work well work advertized,2
action cam work great far wait zip line tour not expensive would think size memory card work like charm,2
used sandisk photography course went time outfit new samsung galaxy internal microsd card spent extra buck comparably no name micro sd card bought variant took quite picture even transferred album computer coud show friend go less two month sandisk microsd card started acting not recognized stopped restarted removed reinstalled onto phone erratic behavior taken immediately tried recover anything could thing hit fan unfortunately waited long morning no reason turned phone card show blank neither window pc nor mac even detect card yes tried two different adapter tried sandisk recovery found no recoverable file even though checked file type extension apparently lost picture top gf cheap no name card never issue exact phone keep chugging along merrily paying premium substandard product fails use two month no thanks going back lexar failed yet also getting rid sandisk card dslr case fact sandisk first card thats ever failed new card boot not inspire confidence buy use risk never sandisk,0
disappointed card usually issue sandisk but gb ultra card died two month died no longer recognizable pc camera device wrestle warranty claim failed month,0
bought great price capacity rated speed use storage nook hd glad bought,2
bought card android based phone soon started getting message card removed damaged tried tablet thing not first card brand bought experienced problem went several online forum see solution someone hit upon might problem brand card bought pny brand micro sd card no problem whatsoever android problem,0
bought card strength gb xdsc sandisk phone right gift friend mine sadly corrupted within minute first use initially worked fine dead checked laptop window disk management screen told single k partition rest unusable outstanding replacement sent amazon thank amazon always excellent sitting office right probably check not sure recommend,0
